,delta_power,theta_power,alpha_power,beta_power,gamma_power
0,1944208165.3972483,1735202823.2541206,1117090976.187051,2837202464.499259,6534780579.361074
1,1342997601.1563094,2180750722.6437416,1505453492.9117935,2194714302.8974266,10798316129.546314
2,2897309694.545439,1640638035.7011235,2069363875.6194193,3260775157.254395,7614900679.583084
3,1431620841.7185655,989108522.6710773,1157488996.3112044,2382296483.894563,9147174592.561483
4,2690143007.927925,2488110060.2360826,1321579780.8197112,1943444790.6642709,7212959971.04504
5,3714832566.0875587,1114947467.498766,974149594.0835125,1934110188.4246073,7670513303.88111
6,1813365107.1900828,1158085546.4729304,1634695030.073238,1832036597.7124066,8903199926.531982
7,1067958397.3318641,825057803.9706247,828724326.6381881,1034836501.6024778,4118601428.0682096
8,1490604113.7580926,1203996022.9792142,1096620218.23679,1615524864.5284479,2325569861.899698
9,4766907885.800262,3082375055.1902657,1688102304.438346,2050955279.549882,3418347079.7265167
10,1507823321.1599257,1580615466.0527196,1441345210.8123178,2635327695.279457,4319673173.746728
11,783851530.3762075,2432820750.334056,1727519487.0885377,2805045625.0802183,4669348952.104885
12,522158006.2164485,1298314585.5404646,1016125909.942665,2210036537.2795677,3392461483.7368016
13,2596427829.0721073,3761647622.619864,1699646974.7374868,2687809659.7736497,3600991597.0672555
14,1313656893.9618533,1152916241.4872618,631226688.4208527,980955244.7377259,1684942396.9083843
15,4298411567.713643,2797300476.55383,2485178303.2797832,2286347718.8793454,5461673035.70309
16,630160838.9380175,839360907.3438281,1181705654.079865,2016582486.7175243,2220521403.0845017
17,6904214730.36057,2877762304.888459,2220871852.2376213,3303159945.9515653,6478314318.174295
18,1101355791.5248153,1361343591.4603634,582658431.9748484,1921233423.8901353,2763490824.725583
19,1049741891.3985063,648999029.7238203,543390059.167128,962668547.2160977,1849859327.5384252
20,980966448.6684593,1373312116.3181324,1112998111.2139158,1092108964.4860656,1889740101.485052
21,1377631221.839848,1140925724.345725,910256931.1332659,945400611.8904905,2304266659.02209
22,4047747609.4626184,2478592381.873223,1860389311.3021002,3029146505.180601,6534331581.028507
23,853531662.4767358,594821726.1813871,861562869.3822616,1717152176.5181463,3892818675.122451
24,7085963527.280922,2194721527.8650274,1875309411.4176338,2475300089.668189,6828713518.723267
25,4965740949.741045,2189092855.610516,3361364512.3002334,3578688703.1638937,7837848840.419439
26,793629165.1271539,502738302.3178096,635346845.2127745,1865775454.6331573,4328800241.942643
27,1035340998.8456087,2661529185.426792,627643725.059125,1441895235.3718941,3236015563.598489
28,1590125090.650294,1520686366.8351905,1186772231.1073916,2270655327.880363,5482956403.525488
29,3533485504.146215,1932935002.5748289,1092962301.1554165,2053007724.1929402,6421914396.152362
30,723293031.2615175,500689853.12538475,838582091.0371739,1872871728.7433918,2627354643.763751
31,697372831.4230596,396462581.0979279,715335715.1952516,991313092.2426771,2328936137.1630282
32,915489241.6141984,1330641223.8519044,1531173231.1001077,2576440078.3757977,6047799983.033596
33,2299967762.772174,1705066535.0187688,1744414250.7898028,1762730142.2349973,5613505311.8806305
34,10036109072.85042,3505572541.253193,2377487850.4530087,2601552462.8133974,6463076443.756311
35,3446054403.8914104,3331797384.1167727,1703379578.6894624,2730028345.417716,7268079899.440836
36,3668144560.004496,2205869729.137866,1406085970.7535567,2018040511.5380685,6869079111.105469
37,346268344.8620871,262962213.70440468,389450007.4759147,769640500.3523445,1799936464.293294
38,6897667750.669964,4838931257.51277,3258252881.7050767,2924620342.1535378,7209924390.955329
39,1200180455.9041915,1031553943.5849111,578411324.8255535,1417304491.9677746,3561376484.2882953
40,4314556242.798038,2132656749.0578074,2051792338.4136703,2773945211.301433,6241944557.733545
41,422928095.36747783,472362743.09993136,356960486.2413196,742777253.2283938,1970965288.1485023
42,455344550.99455285,782758278.8097764,537630841.8742554,1853011025.4743454,3475506599.7929306
43,1660621127.5124707,1846524871.4870481,1272819217.0053995,3322567481.1397886,6363101722.6102085
44,2268919848.4749193,1742980571.7042592,1324928974.4037664,1860039859.524578,5268355275.128769
45,2271072117.3610277,2122142744.4564507,1320442473.5305378,1615595440.9612331,4921472143.436311
46,2364324972.184819,2297551167.272248,1314412038.318051,2553344569.309974,5755230603.269087
47,1862870730.561156,1865571565.7239864,1607236184.3015509,2604390456.733503,6521418289.756548
48,484959845.55094755,737198073.3098384,629534016.7261727,1751442587.3007793,3960354672.2907505
49,4562173393.913109,2358221206.190815,1799023936.7904465,2887423942.7049947,7838065852.201572
50,2311082019.6981153,1630000326.5181034,444076209.85436624,1381010249.9623046,5596620131.792391
51,1059386752.5544283,536088601.9924043,466915998.1089614,1742720300.2256708,4746105872.2589855
52,1385932648.7756102,1210005986.271431,519413636.4205115,865794448.2015715,3263821985.4882793
53,5785653081.25856,4786085155.448368,1810181728.6816702,2662652789.9321437,7499987138.504496
54,1991191388.2850227,1354954806.1156306,817767516.5139956,1868790235.6589427,8267219376.846073
55,3064201715.750268,3440800389.105103,1851266388.0497818,2567075142.031867,7693441520.633649
56,7600101790.319536,2091830263.5704696,1336497841.3526673,2059765399.3031666,6841717418.69416
57,1825858089.2469556,1306523801.806768,1281514585.1662998,1853128131.0527673,5038592528.026148
58,1363666332.1528273,1456267885.4706118,612933844.8638195,3446927902.7556205,4040978040.7595673
59,657890427.8055326,955934990.6666467,594110422.2140182,2939636151.450235,3466147973.837901
60,300383444.7969703,298284170.4307402,381291303.7656532,747012791.8531007,2008665200.64711
61,2385956744.6939297,4983134193.995478,2242785352.5221143,3738174192.7455764,8173088761.912844
62,814662930.5800716,1213059521.4308438,850336365.2372155,1524453878.0429142,4465701023.435001
63,2844243838.0808854,1686547483.5412652,946401477.610491,1934371519.2459192,6644664871.5430355
64,925948604.0709302,549656416.3927126,583698881.3326051,1155406115.4323685,4989651347.130682
65,556411986.528184,588568136.7569208,331767219.1098539,539170934.4081507,2480748685.742516
66,2104414597.732392,4246083388.7203608,1590657262.5243633,2505433943.5098624,6988678415.695845
67,2150510444.416765,1523301816.8610969,1692095000.1103692,1983434997.807979,5593061966.981285
68,4551817541.478908,2273934247.910928,1886587121.4442954,3077005529.4706674,7799251125.003551
