,delta_power,theta_power,alpha_power,beta_power,gamma_power
0,3010378304.428498,2414689111.1670275,2299568891.250551,2970545261.4095364,9350606539.138987
1,2250344777.8114657,1064117347.6862493,2216050558.473658,3056185908.4986014,9435181489.671125
2,3619058729.825229,3929319801.4119725,3116793078.0305853,2679318097.467145,13135427661.54049
3,3955289083.8821707,3979574629.2703366,2282581396.6438026,2805082083.1580067,20600314033.920303
4,2207403542.9620852,1575367815.2091398,1497887332.3049767,1223757659.2153125,18803677962.832996
5,2504772854.259524,1437689449.2123723,1268501259.3912573,2192876170.0024257,13654457115.948778
6,10118623627.920996,13318234837.916897,7677655533.924679,8603060760.606535,19982274987.31803
7,2878514553.643996,1801046416.530821,1762280591.3028185,2947795346.651322,10519088901.869965
8,9615854902.244934,4111941226.1890726,2403698310.8212914,3023804155.672777,13484430877.21627
9,2002158008.578157,1777992875.4045243,2024687724.9572666,3880130677.8206415,57356131190.14255
10,2260899179.8640466,1700303619.6952567,2451619982.8988414,3734139981.5735064,76143736144.70404
11,1043732459.2614877,643533757.8277035,551725856.5015231,1254900685.150019,11866863750.37541
12,1771817643.903293,924905873.3671615,669472120.6723838,1338379749.5244794,19129024190.902996
13,1867289243.4617271,1632321193.2373557,2073544570.281625,2732004616.9573536,67607420518.56448
14,1863910965.07081,1293922367.3610775,1355841089.9206786,3691814021.314234,66830669740.85318
15,1719355577.8763714,1060020152.1624382,645508721.4317032,1607799012.943564,8159232230.87611
16,1931918052.3545325,1155403854.6606765,1521470154.486038,4092179133.107283,76822648993.88048
17,2000830987.7280366,880103644.0762959,490552263.0964146,1525044895.5735548,12281856756.625694
18,1079668193.3179243,2055999458.3896682,1208913777.1181896,1852458926.5059507,39204944924.56258
19,1323176248.7721126,1300371829.7676167,1012388111.4604965,1364924612.6996915,25577948986.54135
20,2268472097.257381,2051149159.482901,1388729424.9950967,2331230060.9077797,20410295483.29599
21,909443567.5600065,791899938.1875972,1581562884.2165236,2569010079.2227716,30539893838.393925
22,889341477.8936145,683187910.8480965,730076204.0166785,1116291802.8029368,12817758798.282143
23,1617529563.1122787,2515952928.8488703,974755666.2216315,1320492919.96156,34123806878.059113
24,2792188864.810526,1886816379.4480839,682717630.4349239,1521670207.79868,27149860435.203754
25,386194423.6324808,499573215.5313825,355490230.3375087,788397129.0451832,13733391875.117441
26,959980886.034882,1419098588.8329277,544660564.3775252,1252248560.3205307,33437696459.529728
27,1094576516.818995,1155987572.9833536,1568593884.5246267,2387641852.062212,10383650221.020382
