,delta_power,theta_power,alpha_power,beta_power,gamma_power
0,1525000158.3400722,2139719117.8424444,3911664006.4851956,8896933660.602512,3736717619.0135546
1,5675806290.639566,5141714651.938338,5234045966.5101,14242679299.380312,6713305581.73834
2,1685924765.195732,2950607722.7475557,3447337386.7292147,4836263316.871446,4298038521.195681
3,2521548816.2113743,4640841757.352428,2800987886.5310044,3794301370.054478,3939965324.543339
4,11587444460.260637,27018356677.36014,19241472182.08431,29026730479.276936,36231872976.03382
5,3553570671.65119,5937851767.6757145,5216504841.735334,6873941019.232915,3947066833.3203197
6,2902608600.8114023,4353509849.6964,4359071208.861486,5008794776.5215025,2180780023.4605803
7,4299569126.264379,2274438347.868683,1687002505.8037639,2063677055.700039,1997205886.2899067
8,1709069803.7772489,3360373871.2412915,6263630643.281533,16714412229.437914,4725820196.836039
9,761910397.9675139,2101247000.8272333,2392090180.128658,3295574965.229495,2059860332.5350485
10,498649967.6502738,868667102.3660461,864845725.9053111,1226513533.309631,782290859.8672786
11,3752849569.336712,3885288842.149159,5571633752.02003,11585784286.633005,4585173641.761032
12,2604880467.0787234,2595758126.1239758,1881476353.868178,2407461898.4997525,1510738607.1497574
13,803325968.7471945,1761258085.8701532,2190629534.405784,3019587163.16556,2628403523.170637
14,4933458515.651934,9594161364.908169,5291151604.051429,10052986373.474113,10340068310.215548
15,2494177654.700412,3010763849.599679,3046501369.4298267,4758484916.528633,2711753121.5371323
16,3926868429.745636,7106119604.582303,4443740666.398626,9185687737.781796,11153162861.962095
17,695305404.1177014,794593495.4191327,1169318817.7764187,3392946162.2932014,3458821434.5673265
18,5142237864.949406,8551307390.959801,3874011998.5836883,4613183253.973022,4056306125.492877
19,1398713513.5046766,2302431725.91984,1555707849.0732276,1967325289.7765765,3332565633.694905
20,3285925117.970403,4234406913.9024305,6028299495.175377,6904100318.996688,3462584218.180294
21,1713139048.4398875,2681389021.7978916,2945694641.5322046,9695057277.526993,4227583785.8463817
22,2200757850.4410105,801726539.7603889,881643323.1887025,1378579904.5413516,729086999.0875773
23,6233777706.241486,7210232034.466335,7124780549.548645,9981879938.872656,6641501763.55187
24,800919464.308199,2383007310.025349,3309435827.1866946,3657706671.725542,5209646992.461836
25,812424643.5037192,1313756359.3098133,890012802.6054238,1797324256.5944593,714922635.1767355
26,522034465.55307364,1376935607.7310271,977253667.1861193,2263144811.58054,1530122894.5475504
27,488269492.6317316,407964736.3608421,537611550.9364176,818824085.9457613,641784710.9169483
28,4221474037.3305964,7659181047.655203,5742394345.33638,4824133083.289562,2859098673.300113
29,4599716983.804026,6692873058.807001,4926055727.011791,3225716940.153161,2944826906.8306837
30,664938463.3167853,2561450238.9492836,2972439778.615127,3698781350.4870725,6177568647.728917
31,1115725595.7284884,2582786297.6054506,2551794641.4664125,3308811062.4440684,1822225860.8127973
32,4528176861.700082,9650834421.810513,9937521664.915401,9843362751.43393,2977632207.6475935
33,4510720080.488769,13294594737.599697,9317932650.107422,7571189464.635287,3045823223.825254
34,1342437205.2803335,3268083366.13306,2595587492.550371,3168291889.1612854,4166300137.780878
35,3217224048.3700013,8690769746.10487,6455323927.563137,10457490318.094751,2806361875.050136
36,4362864638.372737,3891895327.239372,4008492900.8225207,6609750081.751921,3877506261.0523825
37,4356950549.683523,3888457922.674631,3287052539.7948065,3370877900.901597,2467812036.0129137
38,2957511792.915187,7838451750.240303,3991798182.648074,8295907002.139307,6288090107.194763
39,2761367258.853262,5770942198.132927,6566570309.710095,7354835274.048629,3519507924.0125213
40,1864136332.1331832,2001918444.3856378,1101607697.959416,1149517524.129269,848860395.3276914
41,7731964676.727198,8984962241.627457,8562004555.6938925,10659958827.783186,7486065311.344578
42,3702808296.8115926,11468891955.667439,4503460000.085966,9179041112.737219,7219607425.621697
43,2490502371.6330667,4833351401.1233635,3522928586.3881254,3438659105.3949966,3114594990.022395
44,751562003.0117068,1821860922.428831,2191493681.323268,7861526056.932296,3278222354.849831
45,2423467638.9997945,836368903.4258159,1378963607.9851894,2046376280.3932183,867574784.96887
46,2241139913.9049377,4077513839.9863024,6030755473.061788,18669704656.880722,5630696393.465418
47,1346809797.7558062,2897271715.258829,2435204782.526276,4313288996.857983,10418844348.792486
48,1084934431.3383892,1933782270.8273547,2261807492.1693,4730234643.33763,3946879639.907918
49,15404040673.971048,19596111425.260925,11285906972.064756,12992123617.792088,15279985955.09951
50,4791736593.062055,6179443063.3454,9318038821.442541,16692169809.015436,6101721282.37821
51,1923616949.151265,4481589376.747118,6971507104.712486,9148980237.956717,13331639355.351135
52,4269170694.7595863,5110209598.880138,5042075867.195441,8068441425.240937,4791117594.77092
53,9814986543.762512,6000597262.248148,6010496770.866048,7009510935.868585,3782091415.8768954
54,1566538246.5931232,2611419632.0509906,1761653869.1519814,2070298477.3211563,4188806190.369337
55,4480393034.021334,8259740606.4382925,4570635156.763715,11520221686.97667,10886576118.21896
56,423368126.56951916,412707384.0180129,558869210.4166352,866708580.3269202,718398361.7105929
57,3880417237.58065,5144261190.268614,3828541458.271058,7239489618.725143,3227033194.287064
58,678923015.847263,464378855.25245225,371426115.8432289,734078025.0921422,576974740.2989533
59,5187959703.522911,5936014874.164482,8045945182.218065,13252354929.665506,6596166605.512178
60,470681006.2446782,381712098.95953107,1767402694.3262415,3648728944.7595377,1703244746.1541963
61,655907685.1998583,1634405947.8012059,2162830580.704987,2561680229.2861233,1622886002.157776
62,588373263.8415093,1132521778.9669614,861283307.6166394,3225323067.838913,2850213633.7754993
63,1070653425.5152439,2601783369.7487693,2957995827.4581094,9446839128.123262,3838155340.0982103
64,2416728522.1686573,2937212786.2288427,2715479555.310219,4628874771.050476,2832273362.9524217
65,5994430113.925405,13902541756.868309,10518745038.323824,12837178426.974392,4137078572.034373
66,1130852955.2320573,993020827.0822232,1456814139.438958,2097976223.1443768,908015108.1005428
67,6317137784.984637,12464384679.415401,7498998629.651407,10642388173.73675,9925070405.749422
68,1441291733.4869618,1872985070.4876702,2330178959.7585607,5566627882.785838,3898328045.894556
69,2076231717.370654,2147353075.4872165,2695815448.8332295,5606730158.051398,6133398301.900874
70,12237363950.241766,11766172476.81188,15514006323.776384,6740646076.706647,8969309375.018717
71,1392063485.9382713,1790373610.4010894,2893805517.7518177,8502990442.937572,3503897165.443552
72,1861443067.3096461,3692532548.178345,2007862979.4109545,2968067824.3787518,2918384091.0483136
73,744230156.235068,610713582.458567,545622911.5721061,1125846093.8794744,556036609.9280427
74,1567603135.0658765,3142408779.419677,3476571958.9754186,6483794208.109037,3240085809.6724563
75,2761051595.4553304,5711757136.025075,2498525917.022822,3318133737.862725,3018643079.074007
76,1907536391.074529,3674584677.804592,7100722428.478144,8948905622.938269,11066098175.857605
77,6114180031.865209,9502749449.713182,12066300185.99202,5952482314.193224,7464006217.834193
78,4227386742.079968,8270710870.753711,9277887369.376797,10211810222.817827,12183759589.679487
79,4801532211.540971,6027892143.504811,9709685939.367079,10375306976.254692,10223063888.18027
80,1500445045.9669023,973354503.6563752,1624127742.7655032,2129663499.0819666,911782663.1242709
81,2012773552.5205424,3828288122.7188587,2242374598.5041924,3192577943.391487,3414831849.204389
82,737168610.5307465,551045313.454464,380652991.1878027,813285259.4591883,656290540.835023
83,1474571834.5601652,2186528431.064312,1665169773.9055285,4152954964.9548306,3976586166.026472
84,2709582814.998393,2630948225.7076225,4417237917.965434,6669324848.5407505,8829760019.096008
85,694840229.4699094,939137441.4026306,1311719352.1161075,3053177767.3651342,3041513262.2657757
86,1165875017.5472023,1565675707.264589,1210273849.5197353,2532626889.002105,1480120473.6396103
87,699707315.0483481,1073786534.5383682,1270984982.898962,3517577168.7170086,2378014272.427246
88,5809230804.523766,12067878635.857807,7676190122.835687,8264719096.77393,2477175822.7930317
89,1509022289.204983,1510763126.3410966,1430928460.8352149,2181650898.2296505,1292160768.521293
90,5781524692.017243,14590917200.68219,11621922648.969076,13706500283.170115,24386615206.124626
91,7459844484.352696,9786027633.507168,6226980860.488013,10225714339.791485,11058819832.551956
92,796056400.7641388,1404677618.0568051,952242103.2947804,1880681465.327486,763948007.2497548
93,4828188211.617767,9063909913.483635,10931091370.089928,11048884628.08359,13367939815.77451
94,4881274936.574571,9107117581.404915,11709082188.476738,12211961976.750273,2935581650.708216
95,5258647883.070218,7843477921.146486,5242112882.284341,8866933396.562443,11880593132.666615
96,481608183.3257921,394295985.772971,617075322.5525393,926571554.6787663,733809101.2343717
97,2054853207.6310325,3339088286.7272363,6016401695.958247,12800940715.884106,5238367721.485525
98,3956151879.6462984,11497406822.932384,10453263692.291363,8924159218.803957,2779720260.9719577
99,4301163578.627916,6123164936.846006,4751480978.872814,3656778660.9052052,2709388708.9523687
