,delta_power,theta_power,alpha_power,beta_power,gamma_power
0,1212762325.0006824,1209148576.8706644,1506582427.9723866,1760605290.7037678,1029415965.2963873
1,42966931647.07273,40884496919.95446,27348109610.48914,16587463015.021832,20273005777.92437
2,1512437289.3716674,3910719871.7536745,21704409948.693027,4802404213.966141,10762400088.966587
3,563396321.0175884,1429826364.266395,2499145433.3835645,4799554870.663628,2528044534.249598
4,2534259473.9838753,5744040401.321518,13296412751.276815,17225180008.754883,17849693325.059277
5,302721475.12563777,432049300.7199239,689324144.9606937,1687962889.8421202,1189172580.5773132
6,816325517.8960615,2062159313.8605475,1829837374.5685873,3514070766.88366,3770737741.2153316
7,20824442050.849083,18121225779.842747,20944845425.406605,16308298096.479588,13681308727.924524
8,345331399674.9438,387477649714.3123,245159565710.87793,391266994829.6426,250511218773.61426
9,42433724859.29242,33931570314.112152,39096258777.41887,25995798704.48157,19053592342.294662
10,368324122.9301174,684371358.8278979,7581869399.39162,14317871764.280087,3942248979.764323
11,639993480.8283224,1573173786.25799,1694693332.0648098,7231118643.995809,3228930724.419307
12,260525726.7643581,817786672.0020047,744758028.6070174,1418679219.7182987,1657757152.237204
13,283114135.69085854,1209864651.4809048,1356909019.5157108,1721594773.0477536,2516402703.705852
14,621997526.671022,944156227.6496187,1249781498.7069497,2433724503.6555414,1969361892.9475827
15,1508990966.5419903,2887395576.7830596,3887460230.295601,7665220227.3611,6318198080.190187
16,320355352.3405538,1322804412.5888033,1904932613.3408666,2365445471.4402027,5682408584.553729
17,1668385774.2293892,2870904587.43804,3620705389.213955,7345169090.307156,17668903864.154743
18,353199343.0429275,343199830.6884657,825424735.6473053,4323604388.713451,2607127857.5563374
19,2407238103.7154555,2274271283.221534,2330998055.3388357,3169746179.273933,2056655430.0292623
20,26047693743.134254,18069493903.49954,22871662816.36827,44474971420.85578,41646139012.54561
21,1475176463.0642993,5165834929.470577,21979670926.643547,4548575150.733478,7117594764.049688
22,1954517790.4371548,3037469706.324833,3214500382.205235,5178852272.541312,21600426366.605244
23,2055030169.6342654,5879972468.772402,8775204862.23628,18378811935.042316,13109554988.193485
24,3665466112.37141,10070881570.100142,13916308187.851662,27050316424.73157,14115869457.216797
25,351429071.16507894,527831522.8486038,477504513.05972385,1315021723.9554932,799172650.1946146
26,5282323264.78635,7640751642.668028,7453878167.715521,9068147288.557768,2786205877.226345
27,663774549.5066488,626996635.4267724,1814742731.181304,6847442621.1195135,2932730303.7582293
28,28573915960.856773,26357312474.5258,15467287844.50669,8281782188.968291,11064739727.472853
29,44826276957.288475,47769110200.88864,23696556565.011013,30889771765.00018,24801771746.16165
30,2124158314.7249272,5794006368.489042,14367198419.594624,18508054797.341324,21024920508.363605
31,17285711205.3005,8500036626.65325,3418406277.677529,10436621109.487194,11991134787.97951
32,722609535.7965604,1698041567.1100497,1055706148.6675448,6689102759.836134,4213762877.110149
33,210630878.6613539,814090001.6345899,780835212.7436945,1365878996.2573123,1699950887.3581533
34,382348294.44762117,1549230365.9417288,2178724922.66524,2752169222.5043244,7609670603.023069
35,1772838567.7617598,3340268178.701792,940103803.5834421,1807422105.8156176,3758646082.761423
36,2484297892.496119,2521404063.4073253,1963589341.5326612,2510560998.8521056,8596112464.53149
37,3733908548.7286415,3474292773.8965573,3489562423.501096,9213309841.726236,4722127947.959715
38,2568336335.561057,7287916702.876409,8841746203.702644,9952096549.47338,3181190572.6901107
39,1261450893.7973318,1504539737.154103,1433884927.6781375,1716847176.618157,1618637479.34336
40,7449483890.673766,11302755697.54506,10390838394.483526,11690398357.253147,5656418154.85909
41,726119047.5539784,1100012611.0479858,978054339.0470415,1542330431.1472836,1200445983.23779
42,1873420603.8236048,2943692307.739332,2607661685.0089655,3998031409.261431,22847595959.052242
43,983033862.7576287,2019410098.7476547,2714519326.3036914,11482878630.412745,4930103263.524427
44,2077228108.5268278,3188388793.663065,2044392991.3859794,4312103472.3000555,4919992828.838028
45,1888653872.5938468,3935906064.795969,1903231457.6555858,2610199812.667589,7203846594.111845
46,2087245615.9257622,2939805405.83055,4306210431.683509,9804421367.941875,7119542628.412661
47,2654341952.0466976,2900220530.147091,5780544777.031271,12986316328.897312,8184505596.666519
48,2846123026.495344,3658989327.7369785,2006184611.9435728,2200625963.2967825,2713649859.76584
49,6519005555.940506,9978049477.797773,7639977367.4133835,9865204662.472366,2817254863.6799145
50,2040230668.4686968,4478800932.991315,20884634019.089375,4893785142.012694,11784816850.892376
51,946522082.5159973,2055391283.703611,2661707893.999682,4040833753.381977,2503861252.773189
52,3116275186.763196,5035728570.297024,3808869506.366388,4325043361.782569,1696283948.053588
53,1726682198.422362,2932627483.662079,3602033870.311088,7104002030.861285,20552023926.900536
54,2391357356.5761905,4611841436.604174,5502525923.926842,11455111471.894447,5067824850.462751
55,531018251.0929806,1266949323.8692267,1975831527.0166829,5979305238.690258,2615509511.374834
56,2748788076.008733,5222429168.532291,4811377710.456718,5539096652.02384,1856567689.3313217
57,319828597.8477131,1276607779.7770238,1613284074.0524018,1894582868.4691963,4131278764.7242904
58,864243213.4873809,2592883428.1246147,3890722645.6431003,5994570982.020432,2843128466.68715
59,104168968187.57375,126297946902.9823,224616301421.61835,230794059384.7907,118472497209.62457
60,22695337557.663937,22306684173.084755,12472434992.334917,18409261420.52179,12244151814.363064
61,4812622331.251351,7283586552.613935,5807376723.366108,9295079259.620571,3188045726.690326
62,3628635115.716796,2989512322.395238,3457906155.8052225,3195781500.8259773,3197468594.8050666
63,6773150537.902252,8170284469.53377,7663140009.131991,9265400703.390274,5711731250.295412
64,1888454646.3490283,2406927683.545004,2229854483.7989388,5013628318.922265,10311852157.207785
65,324884488.1594331,711030403.6362801,6772403121.496753,13543764069.171892,3334687978.346595
66,1348850068.90605,3999074979.4381156,4910416705.59985,6335345520.436693,3046806461.4498124
67,326993893.074593,1654516046.745526,1846166726.8686795,2264931794.727523,3595224278.0342703
68,674796966.3007408,935308748.2416091,1050462659.325607,1501803270.1958125,1490678209.385086
69,9252337804.68484,37175844537.363655,18533772146.58607,16042827195.285107,20628175451.65261
70,400411556.04481447,674510665.6176363,912640831.5618303,1865718946.1375458,1305351289.7663412
71,890316013.8874899,1121692499.336203,1165099731.2341785,2062841637.1983333,1651759276.824809
72,34321285546.93184,36056066968.84444,77758404367.93071,97598049633.28572,38943060688.72977
73,1834377974.0016341,5404678366.552652,5604315947.887591,11102025732.22297,12047757023.910282
74,238065782.62776673,472323781.60063726,573930711.5607668,1813347616.3197281,1387915870.2939482
75,67489220341.6884,107775589806.10599,77671674830.78221,92367031051.73463,68017952481.06473
76,1470977489.3257322,2411242236.4731755,2727707762.9450016,4322965155.340375,8821730024.916477
77,1448141564.0415905,3507956919.9225693,2063719720.6578996,3166447443.6523438,6331831011.08991
78,3726035869.465457,6079161874.998473,5434316835.755962,6480996413.511354,1663848703.8496141
79,1086643063.7103946,1831962487.1796417,2447037388.384382,2889935025.494263,8553242834.9315815
80,190266606.92362756,386311228.33683556,604378854.0198306,2121806301.6625257,1515660534.1836975
81,829172553.5900284,5812919496.378545,31075278251.00552,5481234914.970094,4763420178.628567
82,706616929.3965666,776474284.0513045,572675063.3615303,1417901052.5891135,1324479918.3267863
83,2978982289.9437456,3843444388.1625147,2732854661.809321,5171841889.59885,3331059817.6476426
84,136063266.15742794,221665094.74241528,190159884.19982296,1015735284.7296627,1416428771.3740058
85,30280176564.901943,22954727957.903378,34701102031.75342,43490094905.104294,19942830031.07974
86,386621627.97545946,430040874.694047,918996126.7722514,2072902645.6147618,800801560.1473215
87,224445682.2339791,360232477.8985203,391989289.26826835,1274704592.3011837,1234352141.0243924
88,2098852853.402474,2838210622.756551,4036421791.4508333,12105611465.056276,8645044798.95116
89,6451421971.491861,8245259163.438155,10300064642.86974,15283958099.429506,7478611355.115214
90,6242935331.908519,8285584810.143663,11073672103.011806,25592268350.401085,12909045464.795494
91,748662962.5211492,1552727829.1794095,5625003684.883783,16963647252.667265,9264802051.987038
92,1761468267.1236825,1660683302.4824076,1612138109.581194,1717078186.8346713,901863374.9332364
93,676360500.5847466,855820577.6670485,1915726561.2879403,7631564037.199021,3942667875.756792
94,4430307271.102082,8110289228.955899,8194161220.221982,9669508192.849712,2869075739.692621
95,2241342570.0670323,4075459487.6022468,5083050136.379137,14563916855.13081,8918404178.825577
96,1605569492.061828,5549367167.071629,6762925378.903335,14611124690.50311,12682993287.160667
