,delta_power,theta_power,alpha_power,beta_power,gamma_power
0,11476483230.130974,37756562107.75781,137403776914.58235,624839419136.4308,954280817302.4373
1,42994425994.56458,123963454875.26457,159575181631.57718,565400927239.0276,1037515443934.6489
2,5345676744.858579,10302490718.559772,43776354846.24719,252347686571.7517,657717810490.5825
3,1209314978.9869113,1333152229.5640013,3224128771.021433,20844654131.974438,177920733056.72433
4,9919808075.252499,26543057581.95966,72259119943.02692,438408410356.2839,351774385041.1032
5,943617263.1473372,4175321810.685967,9077444659.087093,30317302704.24721,84390253449.90529
6,51739511911.343376,121652139189.81805,31377816800.866184,53786498572.01548,130121687567.55392
7,1915370741.0380356,2293915728.530566,3874594408.755856,52191314564.57164,1298768828822.3003
8,5148107916.945686,5229833599.093527,3979063728.4397736,129171328421.1846,748685685727.0642
9,5268519133.811058,20834736988.42,26246689238.17736,194440476672.65753,1534995714385.488
10,4541948404.669382,7800566961.175149,26159930559.02555,196215070180.50046,706797078238.6736
11,9428348567.877851,7645230293.400314,42805762372.4151,746960555527.5231,1093343085386.2002
12,2217745738.371802,1758355408.5901227,4294024240.6327653,92695732585.4918,2227878769276.642
13,16025410854.009857,16984448215.66975,12462772078.432468,48245321080.451035,61339733103.509735
14,19048420786.530186,123527676556.59766,85656828420.88838,42711680195.85478,102884698172.49142
15,12537528792.455942,35967579438.49032,16707950245.624779,17687487254.01895,8189631142.13954
16,23095211459.459225,91518178514.79079,220162344617.07388,896114044752.6823,1370894757477.381
17,3567601714.7291026,39038681407.32413,38410867958.481,37132148282.92189,48674573608.11516
18,6238716098.293024,19520743119.351883,31814307453.134552,761304311258.587,856858357548.9325
19,981580782.4497757,1608546109.4985569,2071350959.8635967,11926756234.616999,276829983475.20984
20,2619207561.7238026,2647666187.6033764,18526672418.922993,53341356970.92382,45583960409.96488
21,3164201772.352309,3529436190.682835,10498451669.433517,107750940159.69771,157166608301.2299
22,2432430431.954169,3929162399.0515027,21129806019.380005,178562067540.3306,153977518337.5558
23,6554383428.256629,20338571030.386147,13104143388.129528,206340438595.42618,445677382955.7822
24,12432700005.220564,18109149191.60668,229172479156.28162,442875638777.145,335105744404.5967
25,582706720.227905,1641796323.2636962,2837303139.9388876,19805423178.324757,383597685111.21936
26,34979090384.60693,22146624682.284927,63770992054.72456,614558133271.2775,1466345883911.3245
27,7613240172.59916,18145747842.354877,27444564850.29782,1194453432781.8372,613806043324.8092
28,10718434105.7958,50360262620.33029,98778017536.18631,39175594972.5653,61176918760.594345
29,6027952643.714821,30981012862.600426,34027531884.46662,190429994144.30246,1377261297456.3271
30,3722163652.312171,1546125787.6891599,3427688139.136816,51908998789.276825,576594247251.2277
31,1356949087.5220413,4616691470.844957,19483899093.520744,29078865127.76726,37332593990.33484
32,5060351263.758551,14307966657.765121,58516725996.99264,577654818082.9388,368040449641.33057
33,10532602524.743475,20451373983.441174,23273848154.09945,339384507843.4986,671118723975.386
34,44282027113.557785,34454476500.8279,71860841740.81354,406077093975.0658,1547063310153.2092
35,1303534571.0116727,3263560008.679984,5553515811.729476,35444057002.57194,247906784274.99884
36,19192326777.41155,56821977508.87958,193392509839.8612,717476060599.6438,1596711290048.4019
