mean,variance,std_dev,signal_energy,rms,peak_to_peak,delta_power,theta_power,alpha_power,beta_power,gamma_power,file_name
47.10007322431047,228947.7488332873,478.4848470257834,947087781.0,480.79742691805524,2792.0,11476483230.130974,37756562107.75781,137403776914.58235,624839419136.4308,954280817302.4373,E001.txt
37.57188186477911,255086.5426118601,505.0609296034094,1050873080.0,506.4565024942626,3180.0,42994425994.56458,123963454875.26457,159575181631.57718,565400927239.0276,1037515443934.6489,E002.txt
30.493531852575053,139933.7305537208,374.0771719227475,577118112.0,375.317979903128,2718.0,5345676744.858579,10302490718.559772,43776354846.24719,252347686571.7517,657717810490.5825,E003.txt
7.087136929460581,25546.611640741074,159.83307430172604,104870250.0,159.99012204069976,866.0,1209314978.9869113,1333152229.5640013,3224128771.021433,20844654131.974438,177920733056.72433,E004.txt
12.870392970466195,110526.6048764138,332.4554178779672,453506156.0,332.70445126512516,1753.0,9919808075.252499,26543057581.95966,72259119943.02692,438408410356.2839,351774385041.1032,E005.txt
-5.800829875518672,15931.509269509013,126.2200826711384,65409256.0,126.35330979738411,803.0,943617263.1473372,4175321810.685967,9077444659.087093,30317302704.24721,84390253449.90529,E006.txt
9.450085428362216,61743.219439216526,248.48182919323602,253327849.0,248.66146374904952,2559.0,51739511911.343376,121652139189.81805,31377816800.866184,53786498572.01548,130121687567.55392,E007.txt
-50.364901147180866,163941.26225842934,404.89660687443325,682059897.0,408.017016221131,1705.0,1915370741.0380356,2293915728.530566,3874594408.755856,52191314564.57164,1298768828822.3003,E008.txt
-33.47156455943373,110398.14033128417,332.2621560323778,456891237.0,333.9438365434231,2019.0,5148107916.945686,5229833599.093527,3979063728.4397736,129171328421.1846,748685685727.0642,E009.txt
-17.420063461069073,299743.03784983733,547.4879339764825,1229290496.0,547.7650011280613,3450.0,5268519133.811058,20834736988.42,26246689238.17736,194440476672.65753,1534995714385.488,E010.txt
-7.872345618745423,131061.69300384638,362.02443702579853,537213663.0,362.11002033827697,2688.0,4541948404.669382,7800566961.175149,26159930559.02555,196215070180.50046,706797078238.6736,E011.txt
3.958018061996583,231486.0997752274,481.1300237723971,948462734.0,481.146303822659,2293.0,9428348567.877851,7645230293.400314,42805762372.4151,746960555527.5231,1093343085386.2002,E012.txt
-21.5508908957774,291865.43559659465,540.2457177957033,1197675504.0,540.6753892077911,2928.0,2217745738.371802,1758355408.5901227,4294024240.6327653,92695732585.4918,2227878769276.642,E013.txt
-59.40444227483525,19676.161298303785,140.27174091136027,95071086.0,152.3320355679921,1047.0,16025410854.009857,16984448215.66975,12462772078.432468,48245321080.451035,61339733103.509735,E014.txt
